sample	sex_karyotype
S55M450	XY
S55M1000	XY
S55M5000	XY
S55M10000	XY
S55M100000	XY
S55M1000000	XY
S56F150	XX
S56F200	uncertain
S56F250	XX
S56F300	XX
S56F350	XX
S56F400	XX
S56F450	uncertain
S56F1000	XX
S56F5000	XX
S56F10000	XX
S56F100000	XX
S56F1000000	XX
S56M150	uncertain
S56M200	XY
S56M250	XY
S56M300	XY
S56M350	XY
S56M400	XY
S56M450	XY
S56M1000	XY
S56M5000	XY
S56M10000	XY
S56M100000	XY
S56M1000000	XY
S57F150	XX
S57F200	uncertain
S57F250	uncertain
S57F300	uncertain
S57F350	uncertain
S57F400	XX
S57F450	XX
S57F1000	XX
S57F5000	XX
S57F10000	XX
S57F100000	XX
S57F1000000	XX
S57M150	uncertain
S57M200	uncertain
S57M250	uncertain
S57M300	XY
S57M350	uncertain
S57M400	XY
S57M450	XY
S57M1000	XY
S57M5000	XY
S57M10000	XY
S57M100000	XY
S57M1000000	XY
S58F150	uncertain
S58F200	XX
S58F250	uncertain
S58F300	XX
S58F350	XX
S58F400	uncertain
S58F450	XX
S58F1000	XX
S58F5000	XX
S58F10000	XX
S58F100000	XX
S58F1000000	XX
S58M150	XY
S58M200	uncertain
S58M250	XY
S58M300	XY
S58M350	XY
S58M400	XY
S58M450	XY
S58M1000	XY
S58M5000	XY
S58M10000	XY
S58M100000	XY
S58M1000000	XY
S59F150	uncertain
S59F200	uncertain
S59F250	uncertain
S59F300	uncertain
S59F350	XX
S59F400	uncertain
S59F450	XX
S59F1000	XX
S59F5000	XX
S59F10000	XX
S59F100000	XX
S59F1000000	XX
S59M150	uncertain
S59M200	XY
S59M250	XY
S59M300	uncertain
S59M350	XY
S59M400	XY
S59M450	uncertain
S59M1000	XY
S59M5000	XY
S59M10000	XY
S59M100000	XY
S59M1000000	XY
S60F150	XX
S60F200	uncertain
S60F250	XX
S60F300	uncertain
S60F350	XX
S60F400	XX
S60F450	uncertain
S60F1000	XX
S60F5000	XX
S60F10000	XX
S60F100000	XX
S60F1000000	XX
S60M150	uncertain
S60M200	XY
S60M250	XY
S60M300	uncertain
S60M350	XY
S60M400	XY
S60M450	XY
S60M1000	XY
S60M5000	XY
S60M10000	XY
S60M100000	XY
S60M1000000	XY
S61F150	uncertain
S61F200	XX
S61F250	XX
S61F300	XX
S61F350	XX
S61F400	XX
S61F450	XX
S61F1000	XX
S61F5000	XX
S61F10000	XX
S61F100000	XX
S61F1000000	XX
S61M150	XY
S61M200	uncertain
S61M250	XY
S61M300	XY
S61M350	uncertain
S61M400	XY
S61M450	XY
S61M1000	XY
S61M5000	XY
S61M10000	XY
S61M100000	XY
S61M1000000	XY
S62F150	XX
S62F200	uncertain
S62F250	XX
S62F300	XX
S62F350	XX
S62F400	uncertain
S62F450	XX
S62F1000	XX
S62F5000	XX
S62F10000	XX
S62F100000	XX
S62F1000000	XX
S62M150	uncertain
S62M200	uncertain
S62M250	XY
S62M300	XY
S62M350	XY
S62M400	uncertain
S62M450	XY
S62M1000	XY
S62M5000	XY
S62M10000	XY
S62M100000	XY
S62M1000000	XY
S63F150	uncertain
S63F200	uncertain
S63F250	uncertain
S63F300	XX
S63F350	XX
S63F400	uncertain
S63F450	XX
S63F1000	XX
S63F5000	XX
S63F10000	XX
S63F100000	XX
S63F1000000	XX
S63M150	uncertain
S63M200	uncertain
S63M250	XY
S63M300	XY
S63M350	XY
S63M400	uncertain
S63M450	XY
S63M1000	XY
S63M5000	XY
S63M10000	XY
S63M100000	XY
S63M1000000	XY
S64F150	uncertain
S64F200	uncertain
S64F250	XX
S64F300	uncertain
S64F350	XX
S64F400	XX
S64F450	XX
S64F1000	XX
S64F5000	XX
S64F10000	XX
S64F100000	XX
S64F1000000	XX
S64M150	uncertain
S64M200	uncertain
S64M250	uncertain
S64M300	XY
S64M350	uncertain
S64M400	XY
S64M450	XY
S64M1000	XY
S64M5000	XY
S64M10000	XY
S64M100000	XY
S64M1000000	XY
S65F150	uncertain
S65F200	XX
S65F250	uncertain
S65F300	XX
S65F350	XX
S65F400	XX
S65F450	XX
