Run	actual_sex
S71F100000	female
S71F1000000	female
S71M150	male
S71M200	male
S71M250	male
S71M300	male
S71M350	male
S71M400	male
S71M450	male
S71M1000	male
S71M5000	male
S71M10000	male
S71M100000	male
S71M1000000	male
S72F150	female
S72F200	female
S72F250	female
S72F300	female
S72F350	female
S72F400	female
S72F450	female
S72F1000	female
S72F5000	female
S72F10000	female
S72F100000	female
S72F1000000	female
S72M150	male
S72M200	male
S72M250	male
S72M300	male
S72M350	male
S72M400	male
S72M450	male
S72M1000	male
S72M5000	male
S72M10000	male
S72M100000	male
S72M1000000	male
S73F150	female
S73F200	female
S73F250	female
S73F300	female
S73F350	female
S73F400	female
S73F450	female
S73F1000	female
S73F5000	female
S73F10000	female
S73F100000	female
S73F1000000	female
S73M150	male
S73M200	male
S73M250	male
S73M300	male
S73M350	male
S73M400	male
S73M450	male
S73M1000	male
S73M5000	male
S73M10000	male
S73M100000	male
S73M1000000	male
S74F150	female
S74F200	female
S74F250	female
S74F300	female
S74F350	female
S74F400	female
S74F450	female
S74F1000	female
S74F5000	female
S74F10000	female
S74F100000	female
S74F1000000	female
S74M150	male
S74M200	male
S74M250	male
S74M300	male
S74M350	male
S74M400	male
S74M450	male
S74M1000	male
S74M5000	male
S74M10000	male
S74M100000	male
S74M1000000	male
S75F150	female
S75F200	female
S75F250	female
S75F300	female
S75F350	female
S75F400	female
S75F450	female
S75F1000	female
S75F5000	female
S75F10000	female
S75F100000	female
S75F1000000	female
S75M150	male
S75M200	male
S75M250	male
S75M300	male
S75M350	male
S75M400	male
S75M450	male
S75M1000	male
S75M5000	male
S75M10000	male
S75M100000	male
S75M1000000	male
S76F150	female
S76F200	female
S76F250	female
S76F300	female
S76F350	female
S76F400	female
S76F450	female
S76F1000	female
S76F5000	female
S76F10000	female
S76F100000	female
S76F1000000	female
S76M150	male
S76M200	male
S76M250	male
S76M300	male
S76M350	male
S76M400	male
S76M450	male
S76M1000	male
S76M5000	male
S76M10000	male
S76M100000	male
S76M1000000	male
S77F150	female
S77F200	female
S77F250	female
S77F300	female
S77F350	female
S77F400	female
S77F450	female
S77F1000	female
S77F5000	female
S77F10000	female
S77F100000	female
S77F1000000	female
S77M150	male
S77M200	male
S77M250	male
S77M300	male
S77M350	male
S77M400	male
S77M450	male
S77M1000	male
S77M5000	male
S77M10000	male
S77M100000	male
S77M1000000	male
S78F150	female
S78F200	female
S78F250	female
S78F300	female
S78F350	female
S78F400	female
S78F450	female
S78F1000	female
S78F5000	female
S78F10000	female
S78F100000	female
S78F1000000	female
